language,text_id,sentence
Dutch,Wine Tasting,Objectief wijnproeven vereist daarom dat de wijn blind wordt geserveerd – de proever mag dus het etiket of de vorm van de fles niet gezien hebben .
Dutch,Wine Tasting,Bij blind proeven kan de wijn ook in een zwart wijnglas geserveerd worden om de kleur van de wijn te maskeren .
Dutch,Orange Juice,Sinaasappelsap is een vruchtensap verkregen door het binnenste van een sinaasappel uit te persen .
Dutch,Orange Juice,In de winkel is het te koop mét en zonder vruchtvlees .
Dutch,Orange Juice,"Vers sinaasappelsap heeft over het algemeen een fruitig zure smaak , en bevat veel vitamine C . Soms kan het ook een erg zoete smaak hebben , als er suiker aan toegevoegd wordt , en het is ook afhankelijk van hoe rijp de sinaasappel is ."
Dutch,Orange Juice,Men kan sinaasappelsap ook zelf maken door met een citruspers sinaasappels uit te persen .
Dutch,Orange Juice,"De grootste exporteur van sinaasappelsap is Brazilië , gevolgd door de Verenigde Staten en Spanje ."
Dutch,Orange Juice,Voor transport wordt vrijwel al het water uit het sap verdampt zodat een concentraat ontstaat .
Dutch,Orange Juice,De smaakstoffen worden bovendien gescheiden van het fruitpulp ; deze concentraten worden diepgevroren en gescheiden van het pulp vervoerd .
Dutch,Orange Juice,Op de plek van bestemming worden de concentraten met water verdund tot de originele samenstelling .
Dutch,Orange Juice,"Hoewel op verpakkingen ' vers geperst ' of ' vers geplukt ' mag staan , wordt sap vrijwel niet als onbewerkt sap internationaal vervoerd ."
Dutch,Beekeeping,Een imker is iemand die zich bezighoudt met de bijenteelt : de domesticatie en exploitatie van honingbijen ten behoeve van de bestuiving van planten of de winning van honing en bijenwas .
Dutch,Beekeeping,"De eerste berichten van bijenteelt dateren uit het Oude Egypte , en in de klassieke oudheid was het houden van bijen algemeen verspreid ."
Dutch,Beekeeping,Deze vroegste vormen van bijenteelt bestonden uit het vangen van bijenzwermen in uitgeholde boomstammen of aardewerken buizen .
Dutch,Beekeeping,Voor het verstevigen van de honingraten werden in de holten kruizen of raten geplaatst .
Dutch,Beekeeping,"Voor het verzamelen van honing werden lange nauwe uithollingen gebruikt , en was het ook nodig de bijenkolonie te vernietigen ."
Dutch,Beekeeping,Tot in de twintigste eeuw werden bijen in gevlochten bijenkorven gehouden .
Dutch,Beekeeping,De methode van honing oogsten bleef hetzelfde .
Dutch,Beekeeping,"Omdat het bijenvolk daarvoor gedood moest worden , werd het uitzwermen aangemoedigd om aan nieuwe volken te komen ."
Dutch,Beekeeping,De introductie van de bijenkast met verwisselbare ramen in de negentiende eeuw zorgde voor een radicale breuk met het verleden .
Dutch,Beekeeping,"Het was nu mogelijk afzonderlijke raten uit de kasten te halen , dat maakte het oogsten van honing eenvoudig en het uitroeien van bijenvolken overbodig ."
Dutch,National Flag,Een nationale vlag is een vlag die een land vertegenwoordigt .
Dutch,National Flag,"De vlag wordt gevlogen door de overheid , maar kan meestal ook uitgehangen worden door de burgers van dat land ."
Dutch,National Flag,In het verleden ontstonden vlaggen om op het slagveld vriend van vijand te onderscheiden .
Dutch,National Flag,"Het voeren van vlaggen om het land van oorsprong te onderscheiden , buiten gevechtshandelingen om , ontstond toen de marinevlag werd ingevoerd tijdens het zeilvaarttijdperk , in de vroege 17e eeuw ."
Dutch,National Flag,"De meeste landen van Europa namen een nationale vlag aan in de loop van de 19e en vroege 20e eeuw , vaak gebaseerd op oudere Middeleeuwse oorlogsvlaggen ."
Dutch,National Flag,De nationale vlag wordt vaak beschreven in de grondwet van een land .
Dutch,National Flag,"Alle nationale vlaggen zijn rechthoekig , behalve de vlag van Nepal ."
Dutch,National Flag,"De verhoudingen van de hoogte en de breedte van nationale vlaggen verschillen , maar geen enkele is langer dan zij breed is ."
Dutch,National Flag,De vlaggen van Zwitserland en Vaticaanstad zijn de enige twee nationale vlaggen die precies een vierkant vormen .
Dutch,National Flag,Vanaf 2011 bestaan alle nationale vlaggen uit op z 'n minst twee verschillende kleuren ; driekleuren zijn het meest voorkomend .
Dutch,National Flag,In veel gevallen zijn de kleuren gerangschikt in horizontale of verticale banen .
Dutch,International Union for Conservation of Nature,De Internationale Unie voor het Behoud van Natuur is een internationale organisatie die actiefwerkzaam is inop het werkveldgebied van natuurbehoud en het duurzaam gebruik van natuurlijke grondstoffen .
Dutch,International Union for Conservation of Nature,"Ze is betrokken bij het verzamelen en analyseren van data , onderzoek , veldonderzoek , juridische kwestiesbelangenbehartiging en opleiding ."
